175 8.27798
176 10.19082
177 11.83982
178 13.45584
179 15.1708
180 16.9847
181 19.02946
182 21.33806
183 24.27328
184 27.76916
185 31.6608
186 35.91522
187 40.10368
188 44.32512
189 48.41464
190 51.81158
191 54.18614
192 55.2415
193 55.04362
194 53.69144
195 50.72324
196 46.20498
197 39.83984
198 32.05656
199 23.7456
200 15.3357
201 7.55242
202 0.59364
203 -5.83746
204 -11.34512
205 -16.19318
206 -20.01886
207 -22.62428
208 -24.20732
209 -24.76798
210 -24.735
211 -24.43818
212 -24.10838
213 -23.84454
214 -23.87752
215 -24.0754
216 -24.47116
217 -24.86692
218 -25.36162
219 -25.79036
220 -26.31804
221 -26.64784
222 -26.61486
223 -26.51592
224 -26.02122
225 -25.29566
226 -24.2403
227 -22.98706
228 -21.46998
229 -19.88694
230 -18.00708
231 -15.92934
232 -13.6867
233 -11.57598
234 -9.66314
235 -8.245
236 -6.9258
237 -5.70554
238 -4.88104
239 -3.7927
240 -2.93522
