#File origin :                                  Exported with ChiraKit
#Time stamp :                                   2024-05-21 15:50:46 CEST
#CD units :                                     Millidegrees (m°)
#Sample concentration (mg/ml) :                 0
#Path length (cm) :                             0
#Molecular weight (Da) :                        0
#Number of residues (for protein samples) :     0
#Wavelength units :                             nanometers (nm)
wavelength,Batch 1 test spectra,Batch 2 test spectra,Batch 3 test spectra,Batch 4 test spectra,Batch 5 test spectra,Batch 6 test spectra,Batch 7 test spectra,Batch 8 test spectra,Batch 9 test spectra,Batch 10 test spectra,Batch 11 test spectra,Batch 12 test spectra,Batch 13 test spectra,Batch 14 test spectra,Batch 15 test spectra,Batch 16 test spectra,Batch 17 test spectra,Batch 18 test spectra,Batch 19 test spectra,Batch 20 test spectra,Batch 21 test spectra,Batch 22 test spectra,Batch 23 test spectra,Batch 24 test spectra,Batch 25 test spectra,Batch 26 test spectra,Batch 27 test spectra,Batch 28 test spectra,Batch 29 test spectra,Batch 30 test spectra,Batch 31 test spectra,Batch 32 test spectra,Batch 33 test spectra,Batch 34 test spectra,Batch 35 test spectra,Batch 36 test spectra
248,-1.288,-1.4577,-1.5234,-1.5643,-1.6925,-1.6755,-1.5696,-1.9515,-1.6188,-1.5379,-1.6055,-1.5779,-1.6206,-1.496,-1.3974,-1.6235,-1.4913,-1.6296,-1.574,-1.5166,-1.4073,-1.623,-1.2108,-1.6727,-1.4482,-1.4573,-1.4963,-1.6791,-1.5469,-1.6246,-1.7122,-1.9385,-1.7355,-1.5779,-1.5302,-1.7277
247,-1.5541,-1.7155,-1.7206,-1.7485,-1.8451,-1.8375,-1.7008,-2.1047,-1.7763,-1.7221,-1.8105,-1.7375,-1.7939,-1.7313,-1.5412,-1.864,-1.7745,-1.8251,-1.7208,-1.5854,-1.6441,-1.7782,-1.4761,-1.7732,-1.7138,-1.5053,-1.6265,-1.7998,-1.7731,-1.8026,-1.8734,-2.0388,-1.934,-1.7375,-1.683,-1.7933
246,-1.8638,-2.0651,-1.9726,-1.9384,-2.0251,-2.0602,-1.9054,-2.3171,-1.98,-1.8835,-1.9322,-1.8712,-1.9352,-1.9762,-1.7597,-2.0611,-1.8886,-2.0253,-1.8968,-1.7782,-1.7656,-1.8988,-1.7066,-2.0438,-1.9186,-1.7995,-1.9286,-1.9682,-1.9303,-1.9741,-2.1165,-2.3189,-2.0881,-1.8712,-1.8211,-1.9591
245,-2.1252,-2.3434,-2.289,-2.2012,-2.2611,-2.2946,-2.1108,-2.4864,-2.1944,-2.112,-2.2162,-2.1474,-2.2017,-2.0821,-2.0047,-2.2184,-2.2244,-2.2828,-2.2405,-2.0698,-2.075,-2.1991,-1.9271,-2.3477,-2.1187,-1.9981,-2.2139,-2.2106,-2.2438,-2.2241,-2.2868,-2.427,-2.2675,-2.1474,-2.0259,-2.2503
244,-2.5836,-2.7435,-2.5597,-2.5288,-2.5632,-2.4773,-2.4111,-2.8444,-2.4302,-2.3242,-2.4853,-2.3929,-2.4085,-2.3785,-2.2995,-2.601,-2.5126,-2.5398,-2.5633,-2.293,-2.3079,-2.4147,-2.2461,-2.6621,-2.5015,-2.2544,-2.4361,-2.4933,-2.4845,-2.4984,-2.5342,-2.6808,-2.4481,-2.3929,-2.276,-2.4599
243,-2.9611,-3.189,-2.9453,-2.922,-2.9409,-2.819,-2.8364,-3.1349,-2.8409,-2.706,-2.7709,-2.6986,-2.8012,-2.6272,-2.615,-2.9501,-2.9201,-2.9311,-2.9292,-2.5895,-2.6772,-2.7332,-2.5837,-3.1334,-2.9221,-2.6891,-2.7257,-2.8089,-2.7934,-2.8668,-2.913,-3.0363,-2.8382,-2.6986,-2.5824,-2.7236
242,-3.4021,-3.7296,-3.3775,-3.3269,-3.4121,-3.246,-3.2175,-3.5238,-3.2397,-3.0492,-3.0333,-2.9502,-3.1022,-2.9754,-2.9871,-3.4217,-3.3099,-3.35,-3.2705,-3.0363,-3.0608,-3.1408,-3.0267,-3.5933,-3.2683,-3.0717,-3.2551,-3.177,-3.2897,-3.2288,-3.2063,-3.3931,-3.1147,-2.9502,-2.8894,-3.1032
241,-4.0752,-4.3079,-3.8866,-3.8257,-3.7676,-3.6558,-3.7004,-3.9979,-3.5791,-3.3132,-3.4701,-3.3592,-3.453,-3.3237,-3.4597,-3.8106,-3.8577,-3.8583,-3.7616,-3.4048,-3.5395,-3.5462,-3.4691,-4.1754,-3.7979,-3.5582,-3.7599,-3.665,-3.6851,-3.8734,-3.5466,-3.8612,-3.4442,-3.3592,-3.2534,-3.387
240,-4.7237,-5.1085,-4.4097,-4.449,-4.3908,-4.2014,-4.1964,-4.5372,-4.0819,-3.7364,-3.886,-3.8636,-3.7946,-3.7638,-4.0181,-4.4036,-4.353,-4.4338,-4.3113,-3.8208,-3.9847,-3.994,-4.0925,-4.7835,-4.4257,-4.1327,-4.1912,-4.3396,-4.2801,-4.3915,-4.0579,-4.1516,-3.8515,-3.8636,-3.5433,-3.8241
239,-5.5098,-5.9165,-5.2581,-5.0628,-4.9823,-4.8191,-4.8769,-5.2159,-4.5353,-4.1584,-4.2604,-4.1805,-4.2717,-4.0897,-4.6525,-5.0164,-5.0851,-5.1803,-4.9708,-4.4106,-4.7575,-4.5137,-4.8028,-5.4999,-5.1064,-4.8567,-4.9051,-4.7491,-4.958,-5.1304,-4.5661,-4.5599,-4.3786,-4.1805,-4.0088,-4.1629
238,-6.5751,-7.0218,-6.052,-5.9177,-5.7518,-5.405,-5.6285,-5.9238,-5.0547,-4.621,-4.6977,-4.5491,-4.6083,-4.4163,-5.4277,-5.7207,-5.9086,-5.8945,-5.6508,-4.9546,-5.3307,-5.1025,-5.5794,-6.5356,-6.0208,-5.6347,-5.5625,-5.4597,-5.6989,-5.8813,-5.126,-5.0437,-4.697,-4.5491,-4.3862,-4.4824
237,-7.6678,-8.1748,-7.0768,-6.9526,-6.5769,-6.286,-6.4179,-6.7343,-5.6213,-5.0145,-5.2012,-4.945,-4.953,-4.7432,-6.3167,-6.7642,-6.6987,-6.9323,-6.496,-5.7206,-6.1395,-5.8339,-6.5328,-7.5527,-7.0442,-6.5788,-6.3994,-6.2604,-6.5252,-6.7422,-5.628,-5.4675,-5.1172,-4.945,-4.6948,-5.0146
236,-9.1586,-9.5535,-8.2846,-8.0031,-7.682,-7.1071,-7.3446,-7.5718,-6.3509,-5.4964,-5.5222,-5.3936,-5.3289,-5.13,-7.4213,-7.7764,-7.9893,-8.0198,-7.5882,-6.5186,-7.0774,-6.5336,-7.6496,-8.868,-8.2236,-7.7915,-7.593,-7.0796,-7.5271,-7.8022,-6.1333,-5.927,-5.5665,-5.3936,-5.0702,-5.2701
235,-10.833,-11.473,-9.7229,-9.3321,-9.0257,-8.0451,-8.3536,-8.5642,-6.9128,-6.0035,-6.0898,-5.8172,-5.6833,-5.5206,-8.6687,-9.202,-9.179,-9.3641,-8.7847,-7.3684,-8.0262,-7.4581,-9.0926,-10.45,-9.6925,-9.0666,-8.6972,-8.2077,-8.4801,-8.8586,-6.7583,-6.4506,-5.8773,-5.8172,-5.4057,-5.5483
234,-12.696,-13.38,-11.312,-10.914,-10.35,-9.1525,-9.4669,-9.6923,-7.6214,-6.3764,-6.4763,-6.0583,-5.8986,-5.8196,-10.098,-10.662,-10.859,-10.828,-10.253,-8.3787,-9.1037,-8.3519,-10.587,-12.087,-11.367,-10.556,-10.224,-9.266,-9.7034,-10.172,-7.3546,-6.75,-6.3092,-6.0583,-5.7474,-5.9458
233,-14.41,-15.135,-12.746,-12.314,-11.584,-10.295,-10.781,-10.819,-8.2601,-6.7367,-6.7694,-6.4296,-6.3243,-6.0307,-11.278,-12.045,-12.157,-12.076,-11.553,-9.4773,-10.299,-9.2462,-12.024,-13.638,-12.82,-11.889,-11.624,-10.483,-10.992,-11.327,-8.1676,-7.1564,-6.7309,-6.4296,-5.9348,-6.1284
232,-15.657,-16.584,-14.137,-13.622,-12.873,-11.544,-12.131,-12.064,-8.9776,-7.0995,-7.047,-6.8025,-6.5403,-6.2964,-12.467,-13.144,-13.484,-13.354,-12.754,-10.529,-11.512,-10.333,-13.033,-14.89,-14.153,-13.133,-12.836,-11.814,-12.341,-12.757,-8.7802,-7.5687,-6.9503,-6.8025,-6.2383,-6.3721
231,-16.848,-17.674,-14.904,-14.46,-13.673,-12.822,-13.412,-13.39,-9.6308,-7.5508,-7.4229,-7.0406,-6.7426,-6.4737,-13.237,-13.925,-14.224,-14.13,-13.624,-11.621,-12.86,-11.345,-14.031,-15.779,-14.94,-14.024,-13.761,-13.063,-13.754,-14.077,-9.2925,-7.9294,-7.2165,-7.0406,-6.4134,-6.485
