Wavelength, Temperature
WL,24.2,26.6,28.9,31.3,33.6,35.9,38.2,40.5,42.8,45.2,47.5,49.8,52.1,54.4,56.8,59.1,61.4,63.7,66,68.4,70.7,73,75.3,77.6,80,82.3,84.6
300,-0.137,-0.002,-0.014,-0.149,-0.065,-0.167,-0.038,-0.241,-0.18,-0.092,-0.13,-0.097,0.095,-0.111,-0.07,-0.25,-0.143,-0.08,-0.22,-0.059,-0.091,0.043,-0.05,-0.273,-0.173,0.049,-0.002
299,-0.253,-0.375,-0.631,-0.134,-0.354,0.09,-0.294,-0.31,-0.013,0.132,0.35,-0.325,-0.224,-0.149,-0.232,-0.076,0.15,0.129,-0.274,0.083,0.21,-0.011,-0.633,-0.274,0.172,-0.45,-0.093
298,-0.206,-0.131,-0.257,-0.052,-0.157,-0.147,0.039,-0.248,-0.144,-0.116,0.116,-0.348,-0.629,-0.028,-0.802,-0.584,-0.439,-0.051,0.087,-0.039,-0.082,0.484,0.419,-0.262,-0.264,-0.035,-0.102
297,-0.07,-0.061,-0.218,-0.041,-0.085,-0.307,-0.22,-0.203,0.039,0.253,0.012,-0.26,-0.303,-0.167,-0.225,-0.212,-0.243,-0.067,0.193,0.18,-0.079,0.246,-0.118,-0.189,0.104,-0.186,-0.229
296,-0.022,-0.053,0.004,-0.047,0.121,-0.42,-0.169,-0.128,-0.037,0.273,-0.15,-0.189,-0.163,-0.164,-0.011,-0.187,-0.263,-0.242,0.084,0.164,-0.14,0.279,-0.036,-0.184,0.225,-0.057,-0.207
295,-0.067,-0.207,0.057,0.118,0.135,-0.322,-0.232,-0.037,-0.019,0.323,-0.026,-0.229,-0.103,-0.365,0.233,-0.094,-0.02,-0.333,-0.156,0.064,0.054,0.125,-0.144,-0.072,0.265,-0.057,-0.182
294,-0.069,-0.14,-0.063,0.067,-0.007,-0.177,-0.19,-0.064,0.001,0.159,0.093,-0.28,-0.129,-0.296,-0.002,-0.169,-0.037,-0.3,-0.349,-0.045,0.093,0.081,0.02,-0.076,0.069,0.033,-0.162
293,-0.104,-0.092,0.081,0.023,-0.069,-0.224,0.014,-0.115,0.066,-0.003,-0.044,-0.194,0.013,-0.194,0.113,-0.267,0.157,-0.29,-0.31,-0.022,0.05,-0.02,0.036,0.024,0.076,-0.05,-0.141
292,-0.122,0.019,-0.132,-0.046,-0.011,-0.045,0.057,-0.09,-0.036,-0.089,-0.09,-0.12,0.144,-0.042,0.109,-0.157,0.318,-0.19,-0.31,-0.055,0.094,-0.007,-0.008,-0.001,0.05,-0.161,-0.145
291,-0.083,0.024,-0.124,-0.028,-0.028,-0.007,-0.02,-0.105,-0.071,-0.086,-0.209,-0.021,0.097,0.052,-0.031,-0.118,0.22,-0.104,-0.374,-0.147,0.14,0.091,-0.148,0.02,-0.003,-0.24,-0.183
290,-0.045,0.087,-0.2,-0.073,0.007,0.083,-0.067,-0.011,-0.111,-0.043,-0.199,0.128,0.08,0.115,-0.157,0.015,0.115,-0.012,-0.386,-0.155,0.128,0.162,-0.252,0.017,0.107,-0.28,-0.2
289,-0.047,0.06,-0.145,0.033,-0.026,0.116,-0.04,0.001,-0.189,-0.01,-0.09,0.105,-0.041,-0.116,-0.143,0.093,0.071,0.031,-0.309,-0.168,0.188,0.06,-0.236,0.05,0.176,-0.338,-0.219
288,-0.092,0.112,-0.028,-0.1,-0.006,0.102,-0.187,-0.051,-0.207,-0.029,0.086,0.01,-0.033,-0.197,-0.215,0.11,-0.05,0.051,-0.218,-0.176,0.14,-0.165,-0.346,0.144,0.191,-0.385,-0.256
287,-0.148,0.047,0.171,-0.052,0.038,-0.02,-0.094,-0.082,-0.252,-0.173,0.115,0.014,-0.054,-0.115,-0.179,-0.085,-0.031,0.023,-0.048,-0.215,-0.081,-0.105,-0.363,0.105,0.126,-0.4,-0.267
286,-0.177,0.027,0.111,0.025,0.014,-0.045,-0.203,-0.244,-0.235,-0.213,0.023,0.027,-0.054,-0.019,-0.185,-0.293,-0.059,-0.08,0.086,-0.213,-0.194,-0.12,-0.242,-0.024,0.005,-0.325,-0.273
285,-0.113,0.169,0.101,0.023,-0.009,-0.12,-0.105,-0.338,-0.012,-0.28,-0.021,-0.018,-0.056,-0.067,-0.336,-0.306,-0.167,-0.168,0.083,-0.188,-0.134,-0.213,-0.234,-0.046,-0.056,-0.163,-0.281
284,-0.093,0.252,0.045,0.039,-0.044,-0.116,0.046,-0.225,0.017,-0.227,-0.083,0.133,-0.095,-0.168,-0.27,-0.154,-0.044,-0.143,0.128,-0.277,-0.186,-0.132,-0.214,-0.068,-0.102,-0.121,-0.207
283,-0.11,0.214,-0.042,0.106,-0.042,-0.097,0.122,-0.235,0.016,-0.218,-0.135,0.137,-0.032,-0.237,-0.212,-0.15,0.023,-0.222,0.218,-0.246,-0.14,-0.171,-0.155,-0.075,-0.134,-0.026,-0.137
